"","SN20A","SN20B","SN20C","SN20D","SN21A","SN21B","SN21C","SN21D","SN22A","SN22B","SN22C","SN22D","SN23A","SN23B","SN23C","SN23D","SN24A","SN24B","SN24C","SN24D","SN25A","SN25B","SN25C","SN25D"
"NK cells",3.70315187689596e-18,6.23164612597113e-19,0,7.82073029897265e-19,5.33671720001136e-19,1.67826850290554e-19,7.27083510740386e-18,1.38939790382719e-17,0,0,0,1.75584890822932e-20,0,0,5.75660736866383e-19,5.10562370796125e-20,0,0,0,1.24598193355065e-19,3.05182849772257e-18,0,5.80161268181791e-18,0
"NKT",0,0,3.06243080016253e-19,2.15931614731039e-18,0.0139516905853453,0.0342688416987981,0.0308821056190716,0.0652597023105523,0.00492970525889893,0.00439443256297663,0.0153920740532995,0,0.0220189128331525,0.00340502365211539,0.0154315384886844,7.59866042852807e-19,0.0135898687659578,0.0206678552525296,0.00694307952377425,0.0142368760746295,0,2.69477154433617e-20,0.00114840706119681,4.42003674829761e-19
"Osteoblast",0.0285503833072425,0.0141764416988799,0.030843718221586,0.036409515522594,0,0.00101640367625127,0.0177271442845071,0.005299157532455,1.19002832707175e-19,3.16239592331203e-18,0,0.00443513958789341,0,4.60308851256165e-20,0,0.00937254615851145,0.00134078231280893,0,0.00147949213005941,0.00765660399828122,0.0145646549922197,0.00397370015986058,0.00960971000665189,0.0196194589971777
"pDC",1.09391321088806e-19,4.1156949224221e-20,0,0,0.0015442736079597,1.07557237579361e-19,0,1.8700292860371e-19,0.00268234945791873,0.00295562844024564,0.00171113269239806,0.00216650829936144,0.000209055475604935,0.00265142429161746,0.000892710028661647,0.00141405983900967,0.00104176841391948,0.00179902584620856,0.000486498732783144,0.000347272322024319,0.000336126964541499,4.96502013572415e-05,6.90120841651976e-20,0
"Pericytes",0,4.04045783476941e-18,1.28409202945847e-18,4.46415776358548e-18,1.171038563989e-19,0.0605041951046801,0.0486249857327665,0.047938397067139,0,4.27394012838181e-18,0,0,0.00524477622581271,0,0,0,0,1.98352495731313e-19,0,0.00194294775275838,4.21420338247117e-18,1.51385390232549e-19,1.05089918029911e-18,0
"Plasma cells",0.00150806700717679,0.00143740001068175,0.00103417327815647,0.000810048888932731,0.0001992984885776,0.00566430001086816,0.00644056178975154,0.00480062037444141,0.00128965910806586,0.00214017042824009,0.0010355769594395,0.00236159565290602,0,0.00113787061976394,2.08448863183758e-21,0.000831107130240312,0,0.000264610926947818,0.000152252201299965,3.19962015903952e-05,1.67474933986756e-20,0.000554981013540746,9.61510542249575e-05,0.000558519433038994
"Platelets",1.98522524471367e-18,0,8.82803481299063e-19,2.00708172624998e-20,0,1.78946945875537e-18,0,1.4876136965082e-18,0,7.09104708444326e-19,1.10474451824952e-19,0.000640584175894522,5.84200728993941e-20,0,6.56355184243172e-20,0.000527165673197698,8.00700059397738e-19,1.96891949296193e-19,3.33652111489108e-19,0,0,3.54661992430453e-19,0,1.50484949810492e-19
"Preadipocytes",2.19988583466995e-18,8.39018728648156e-19,3.79205635279215e-18,1.95819926792515e-18,0,2.11798503002723e-18,4.22671520360235e-18,3.65645686530671e-18,0.000211811806155757,0,6.72755077635984e-19,2.92048277174058e-18,1.13806482410128e-18,0,0,0,0.00825610134414958,0.00785032434829062,0.00467344926796974,0,8.65870127652787e-19,0,1.78909964255138e-18,3.17054461952401e-18
"pro B-cells",3.47430438352203e-19,0,1.16100893453134e-20,1.48941236519808e-19,0.0017321014250917,0.0071185817611275,0.00948911276754646,0.00833267097925576,0.00137970643532172,0.000566456220355158,4.48198411537028e-20,0.00256719550627879,0.00367703507502202,0.00127443398003081,0.00126634588331887,0,0.0013141676717994,0.00126816792290333,0.000304916842464165,0.00230634666120064,0.00280458193582795,0.00321557023554502,0.00417747220454078,0.0031302088771111
"Sebocytes",0,0,0,0,0,1.85213743583791e-20,0,2.18489927696226e-19,0,0,6.83726673348521e-22,5.09653336442125e-22,0,1.80015059596131e-20,8.90154582638712e-21,2.30478502860189e-21,0,0,0,0,0,8.95999617086312e-22,4.18469525665883e-21,3.83698134938619e-20
"Skeletal muscle",1.62843015164447e-18,0,2.82381358718174e-20,0,7.48100775958986e-19,0,0,0,4.92825376546963e-20,8.90483380859734e-20,6.57610353115034e-19,5.89258229119344e-19,7.34585189918914e-20,6.36772987464468e-21,0,0,0,0,0,0,0,0,0,7.88785871161185e-19
"Smooth muscle",0.106875031439507,0.105688388386494,0.098630020269297,0.0973217527119101,0.0146487714003262,0.0106035009217066,0.0364301380930656,0.0103314637316997,0.0128860042651798,0.00243670546466198,0.0146501776765986,0.0256971357850798,0,0.0326330124438593,0.00919578973066774,0.0549157829073695,0.0295490446460303,0,0.0330108821674096,0.0403908705373579,0.025268969836805,0.052249288622791,0.0573043642908562,0.0520827897586637
"Tgd cells",2.98282756337871e-20,2.59781610060355e-18,0,1.71814347194549e-18,6.08126908964671e-19,0,0,0,0,0,1.75114476248306e-18,1.20993276594958e-19,0,0,3.9662297801296e-19,0,1.36091262232725e-18,1.62505892600262e-19,5.7187175636591e-19,7.34097663280283e-19,0,9.09233374147112e-19,0,0
"Th1 cells",0.00520205159241324,0.00435727806955767,0.00360449750578623,0.0034549776540447,0.000113394723998326,0.0100926695000063,0.0203940167911611,0.0159710992808578,0,0.000203260536887435,0,0.000125332913231975,0,7.6063295923874e-20,0.00141614606362565,0,3.49813866911411e-19,6.85603349426634e-19,2.29422950318214e-19,0.000803759919947923,0.00121145924869918,2.11556501562221e-20,0.000701916847230044,0.00241908404931542
"Th2 cells",0,0.00103965152659771,0.00948108362277693,3.50374725639702e-05,0,0.0142073980707494,0.0245710775573909,0.0128757294971468,0,6.5946386336417e-20,0,1.70416051153991e-19,2.29214459179598e-18,3.12583932664847e-20,5.92649992626864e-20,0,0,0,4.98283210519937e-19,0,1.21311677749913e-18,0,0,1.60763784889377e-18
"Tregs",0,1.00857748590559e-18,0,2.51446349319934e-21,0.0108070680977671,0.00523711397810185,0,0.00275088528557974,0.0162206583224648,0.0169057456991744,0.0111035461199224,0.012931963310717,0.00672542153724695,0.0175404205264916,0.00513705716999383,0.0137492473213031,0.00510821289971963,0.0111623699990707,0.00599307829789461,0.00331212895666835,0.000147893752389448,0.00293338880262958,9.21837784126764e-19,0.000341067813918085
"ImmuneScore",0.00744762705833711,0.00627579004020731,0.00386590409679902,0.00603911215938512,1.09092016357183e-18,8.42497557035655e-19,7.51329121977024e-18,0.00507137058697811,0.00278218370781428,0.0020762084723095,0.00122613315190485,0.0118248935298101,2.70178974785213e-18,0.00229576200158203,8.31688847846986e-19,0.0107773159727912,0.000484986262750608,0.00163430790019573,0.00180605725837331,0.00934149737867239,0.00322865087487444,0.0016936708512418,0.00225137578516967,0.00874328156578153
"StromaScore",0.000683704850745393,3.19532700318469e-05,0,0.000238318972215892,0.00058021101314979,7.29329816075627e-20,1.42969638316284e-19,9.24852756762315e-22,2.12072083189029e-18,3.38696690263335e-19,1.42863832989199e-18,0.000248753145132509,5.67234905550487e-19,0.000238201241347257,0.000240224471862745,0.0016386553998406,0.0131859614472419,0.00091398503274622,0.0152196460807611,0.015500853917334,0.00387058747110533,1.35607448694662e-19,6.31502362480493e-20,0.0048170696494104
"MicroenvironmentScore",0.00813133190908251,0.00630774331023916,0.00386590409679902,0.00627743113160101,0.000580211013149791,9.15430538643218e-19,7.65626085808652e-18,0.00507137058697811,0.00278218370781428,0.0020762084723095,0.00122613315190485,0.0120736466749426,3.26902465340262e-18,0.00253396324292928,0.000240224471862746,0.0124159713726318,0.0136709477099925,0.00254829293294195,0.0170257033391344,0.0248423512960063,0.00709923834597977,0.0016936708512418,0.00225137578516967,0.0135603512151919
